#Metadata; Text; Color (ARGB)
#Example: Metadata/Chests/StrongBoxes/Strongbox; ; ff00FF00

# BLIGHT
Metadata/Monsters/Masters/BlightBuilderWild;卡西娅 [塔防];ff00FF00

# LEGION
Metadata/Monsters/LegionLeague/LegionKaruiGeneral;西里·伽玛库女王;ff00FF00
Metadata/Monsters/LegionLeague/LegionMarakethGeneral;奥库娜，漆黑丝克玛;ff00FF00
Metadata/Monsters/LegionLeague/LegionEternalEmpireGeneral;穆希尔斯·狮眼将军 ;ff00FF00
Metadata/Monsters/LegionLeague/LegionVaalGeneral;蝰蛇娜帕齐 ;ff00FF00
Metadata/Monsters/LegionLeague/LegionTemplarGeneral;圣沃克斯大主教 ;ff00FF00
Metadata/Monsters/LegionLeague/MonsterChestVaal2;瓦尔战争秘术箱;ff00FF00
Metadata/Monsters/LegionLeague/MonsterChestVaal1;瓦尔宝箱;ff00FF00
Metadata/Monsters/LegionLeague/MonsterChestTemplar2;圣堂武僧战争秘术箱;ff00FF00
Metadata/Monsters/LegionLeague/MonsterChestTemplar1;圣堂宝箱;ff00FF00
Metadata/Monsters/LegionLeague/MonsterChestEternalEmpire2;永恒战争秘术箱;ff00FF00
Metadata/Monsters/LegionLeague/MonsterChestEternalEmpire1;永恒宝箱;ff00FF00
Metadata/Monsters/LegionLeague/MonsterChestMaraketh2;马拉克斯战争秘书箱;ff00FF00
Metadata/Monsters/LegionLeague/MonsterChestMaraketh1;卡拉克斯宝箱;ff00FF00
Metadata/Monsters/LegionLeague/MonsterChestKarui2;卡鲁战争秘术箱;ff00FF00
Metadata/Monsters/LegionLeague/MonsterChestKarui1;卡鲁宝箱;ff00FF00

# ABYSS
Metadata/MiscellaneousObjects/Abyss/AbyssSubAreaTransition; 深渊[BOSS]; ff36B400
Metadata/Monsters/ReligiousTemplar/AbyssLichBoss1; 乌勒曼的凝视; ff00FF00
Metadata/Monsters/ReligiousTemplar/AbyssLichBoss2; 曼纳姆的凝视; ff00FF00
Metadata/Chests/Abyss/AbyssFinalChest; 深渊 #1; ff00AA00
Metadata/Chests/Abyss/AbyssFinalChest2; 深渊 #2; ff00AA00
Metadata/Chests/Abyss/AbyssFinalChest3; 深渊 #3; ff00AA00
